"Parameter","Rhat","nRows"
"Cov[6, 2]",1.05170994038826,372
"Cov[6, 3]",1.02948003507856,372
"Cov[6, 4]",1.05414419073427,372
"Cov[6, 5]",1.0293654237265,372
"Cov[6, 6]",1.03019690724589,372
"Cov[6, 7]",1.05740270173754,372
"Cov[6, 8]",1.06099085664837,372
"Cov[6, 9]",1.02355412134865,372
"Cov[6, 10]",1.04333752892636,372
"Cov[6, 11]",0.999949311062863,372
"Cov[6, 12]",1.05368703621579,372
"Cov[6, 13]",1.0596013020766,372
"Cov[6, 14]",1.0107665577036,372
"Cov[6, 15]",1.06994517015285,372
"Cov[6, 16]",1.0298800493401,372
"Cov[6, 17]",1.04088381043956,372
"Cov[7, 1]",1.02488906055758,372
"Cov[7, 2]",1.02247996192553,372
"Cov[7, 3]",1.04221522345656,372
"Cov[7, 4]",1.09793554746297,372
"Cov[7, 5]",1.019087733931,372
"Cov[7, 6]",1.05740270173754,372
"Cov[7, 7]",1.02286119371837,372
"Cov[7, 8]",1.04569690622925,372
"Cov[7, 9]",1.06924218328197,372
"Cov[7, 10]",1.03313537603108,372
"Cov[7, 11]",1.12890271761922,372
"Cov[7, 12]",1.15584404706548,372
"Cov[7, 13]",1.04805624686101,372
"Cov[7, 14]",1.03898438571361,372
"Cov[7, 15]",1.12490923351414,372
"Cov[7, 16]",1.03958682322697,372
"Cov[7, 17]",1.10993607906774,372
"Cov[8, 1]",1.0067872832289,372
"Cov[8, 2]",1.02252989763084,372
"Cov[8, 3]",1.00338087626921,372
"Cov[8, 4]",1.04439805842842,372
"Cov[8, 5]",1.00839509620747,372
"Cov[8, 6]",1.06099085664837,372
"Cov[8, 7]",1.04569690622925,372
"Cov[8, 8]",1.02492154035161,372
"Cov[8, 9]",1.08776380975562,372
"Cov[8, 10]",1.02911672527737,372
"Cov[8, 11]",1.05509458699622,372
"Cov[8, 12]",1.05337568271695,372
"Cov[8, 13]",1.01139977272685,372
"Cov[8, 14]",1.01698082940054,372
"Cov[8, 15]",1.13647714675202,372
"Cov[8, 16]",1.00169166039003,372
